Country - Currency Description,Exchange Rate,Effective Date
Afghanistan-Afghani,64.77,2026-03-31
Albania-Lek,83.3,2026-03-31
Algeria-Dinar,132.596,2026-03-31
Angola-Kwanza,912.13,2026-03-31
Antigua & Barbuda-East Caribbean Dollar,2.7,2026-03-31
Argentina-Peso,1420.0,2026-03-31
Armenia-Dram,380.0,2026-03-31
Australia-Dollar,1.453,2026-03-31
Azerbaijan-Manat,1.7,2026-03-31
Bahamas-Dollar,1.0,2026-03-31
Bahrain-Dinar,0.377,2026-03-31
Bangladesh-Taka,123.0,2026-03-31
Barbados-Dollar,2.02,2026-03-31
Belarus-New Ruble,2.951,2026-03-31
Belize-Dollar,2.0,2026-03-31
Benin-Cfa Franc,567.0,2026-03-31
Bermuda-Dollar,1.0,2026-03-31
Bolivia-Boliviano,6.86,2026-03-31
Bosnia-Marka,1.702,2026-03-31
Botswana-Pula,13.021,2026-03-31
Brazil-Real,5.254,2026-03-31
Brunei-Dollar,1.289,2026-03-31
Burkina Faso-Cfa Franc,567.0,2026-03-31
Burundi-Franc,3000.0,2026-03-31
Cambodia-Riel,3995.0,2026-03-31
Cameroon-Cfa Franc,570.79,2026-03-31
Canada-Dollar,1.393,2026-03-31
Cape Verde-Escudo,95.96,2026-03-31
Cayman Islands-Dollar,0.82,2026-03-31
Central African Republic-Cfa Franc,570.79,2026-03-31
Chad-Cfa Franc,570.79,2026-03-31
Chile-Peso,926.76,2026-03-31
China-Renminbi,6.902,2026-03-31
Colombia-Peso,3666.16,2026-03-31
Comoros-Franc,428.54,2026-03-31
Congo-Cfa Franc,570.79,2026-03-31
Costa Rica-Colon,462.08,2026-03-31
Cote D'Ivoire-Cfa Franc,567.0,2026-03-31
Cuba-Chavito,1.0,2026-03-31
Cuba-Peso,24.0,2026-03-31
Curacao-Caribbean Guilder,1.78,2026-03-31
Czech Republic-Koruna,20.825,2026-03-31
Democratic Republic Of Congo-Congolese Franc,2280.0,2026-03-31
Denmark-Krone,6.501,2026-03-31
Djibouti-Franc,177.0,2026-03-31
Dominican Republic-Peso,59.74,2026-03-31
Ecuador-Dolares,1.0,2026-03-31
Egypt-Pound,54.58,2026-03-31
El Salvador-Dollar,1.0,2026-03-31
Equatorial Guinea-Cfa Franc,570.79,2026-03-31
Eritrea-Nakfa,15.0,2026-03-31
Eswatini-Lilangeni,17.087,2026-03-31
Ethiopia-Birr,153.466,2026-03-31
Euro Zone-Euro,0.87,2026-03-31
Fiji-Dollar,2.213,2026-03-31
Gabon-Cfa Franc,570.79,2026-03-31
Gambia-Dalasi,73.0,2026-03-31
Georgia-Lari,2.667,2026-03-31
Ghana-Cedi,10.97,2026-03-31
Grenada-East Caribbean Dollar,2.7,2026-03-31
Guatemala-Quetzal,7.64,2026-03-31
Guinea Bissau-Cfa Franc,567.0,2026-03-31
Guinea-Franc,8737.0,2026-03-31
Guyana-Dollar,215.0,2026-03-31
Haiti-Gourde,130.582,2026-03-31
Honduras-Lempira,26.496,2026-03-31
Hong Kong-Dollar,7.839,2026-03-31
Hungary-Forint,335.02,2026-03-31
